Order ID,Order Date,Ship Date,Customer Name,Salesperson,Region,State,Category,Product,Quantity (Tonnes),Price per Tonne (INR),Sales (INR),Profit (INR)
JSW-2022-0034,28-07-2022,10-08-2022,NCC Limited,Vikram Nair,Central,MP,Long Steel,Structural Steel,319,58803,18758157,2957070.16
JSW-2022-0035,15-02-2022,18-02-2022,KEC International,Priya Patel,West,Gujarat,Flat Steel,Hot Rolled Coils,334,72759,24301506,4238236.44
JSW-2022-0036,25-04-2022,29-04-2022,Shapoorji Pallonji,Vikram Nair,East,Odisha,Special Steel,Alloy Steel,292,73028,21324176,2860340.31
JSW-2022-0037,12-11-2022,20-11-2022,Larsen & Toubro,Amit Singh,North,Haryana,Special Steel,Tool Steel,85,73166,6219110,429845.16
JSW-2022-0038,21-02-2023,05-03-2023,Shapoorji Pallonji,Priya Patel,South,Karnataka,Special Steel,Stainless Steel,191,81692,15603172,2849454.47
JSW-2022-0039,26-02-2023,13-03-2023,Afcons Infrastructure,Amit Singh,South,Karnataka,Long Steel,TMT Bars,101,66770,6743770,1128623.69
JSW-2022-0040,17-04-2023,25-04-2023,NCC Limited,Priya Patel,South,Tamil Nadu,Long Steel,TMT Bars,449,75847,34055303,2839022.3
JSW-2022-0041,13-03-2022,28-03-2022,NCC Limited,Amit Singh,South,Tamil Nadu,Special Steel,Stainless Steel,214,66512,14233568,1306505.74
JSW-2022-0042,25-09-2022,30-09-2022,IRB Infrastructure,Amit Singh,Central,Chhattisgarh,Special Steel,Tool Steel,179,46808,8378632,563892.51
JSW-2022-0043,08-06-2023,12-06-2023,Ashoka Buildcon,Vikram Nair,North,Delhi,Special Steel,Alloy Steel,186,65557,12193602,1407862.1
JSW-2022-0044,06-07-2023,19-07-2023,Afcons Infrastructure,Amit Singh,South,Telangana,Flat Steel,Color Coated Sheets,10,79073,790730,149318.51
JSW-2022-0045,08-05-2022,22-05-2022,NCC Limited,Vikram Nair,West,Maharashtra,Special Steel,Alloy Steel,329,65572,21573188,3225366.81
JSW-2022-0046,16-07-2022,25-07-2022,Ashoka Buildcon,Priya Patel,East,Bihar,Long Steel,Rails,366,64376,23561616,3137508.89
JSW-2022-0047,17-08-2023,29-08-2023,KEC International,Sneha Reddy,Central,Chhattisgarh,Long Steel,TMT Bars,165,63803,10527495,858279.32
JSW-2022-0048,23-06-2022,06-07-2022,Tata Projects,Amit Singh,West,Gujarat,Special Steel,Stainless Steel,271,76010,20598710,3482424.3
JSW-2022-0049,23-07-2022,28-07-2022,Larsen & Toubro,Rahul Sharma,Central,Chhattisgarh,Flat Steel,Cold Rolled Coils,354,65343,23131422,1936009.81
JSW-2022-0050,13-08-2023,19-08-2023,Ashoka Buildcon,Sneha Reddy,South,Kerala,Special Steel,Stainless Steel,243,72160,17534880,3207489.65
JSW-2022-0051,13-08-2022,18-08-2022,PNC Infratech,Sneha Reddy,West,Maharashtra,Flat Steel,Hot Rolled Coils,467,51985,24276995,4048506.0
JSW-2022-0052,15-11-2023,26-11-2023,PNC Infratech,Vikram Nair,North,Rajasthan,Flat Steel,Hot Rolled Coils,243,53738,13058334,2222691.55
JSW-2022-0053,16-07-2023,26-07-2023,Shapoorji Pallonji,Sneha Reddy,East,Bihar,Special Steel,Tool Steel,466,78081,36385746,4148379.42
JSW-2022-0054,02-09-2022,09-09-2022,Dilip Buildcon,Rahul Sharma,West,Gujarat,Flat Steel,Galvanized Sheets,402,79163,31823526,3904414.17
JSW-2022-0055,04-06-2022,10-06-2022,Ashoka Buildcon,Priya Patel,East,Odisha,Long Steel,Structural Steel,173,80399,13909027,863564.87
JSW-2022-0056,05-03-2022,11-03-2022,Ashoka Buildcon,Sneha Reddy,South,Tamil Nadu,Long Steel,Rails,179,80560,14420240,1728823.04
JSW-2022-0057,02-11-2022,17-11-2022,Ashoka Buildcon,Sneha Reddy,Central,MP,Special Steel,Alloy Steel,254,45386,11528044,2206597.3
JSW-2022-0058,03-02-2023,11-02-2023,Ashoka Buildcon,Priya Patel,Central,MP,Long Steel,Wire Rods,149,73562,10960738,1346486.1
JSW-2022-0059,10-11-2023,13-11-2023,Tata Projects,Sneha Reddy,West,Maharashtra,Special Steel,Tool Steel,23,70822,1628906,226065.95
JSW-2022-0060,11-04-2023,19-04-2023,KEC International,Sneha Reddy,South,Kerala,Flat Steel,Hot Rolled Coils,143,69844,9987692,989809.24
JSW-2022-0061,23-02-2022,03-03-2022,Afcons Infrastructure,Rahul Sharma,East,Bihar,Long Steel,TMT Bars,250,46270,11567500,1878025.72
JSW-2022-0062,02-09-2022,07-09-2022,Dilip Buildcon,Rahul Sharma,North,Delhi,Flat Steel,Cold Rolled Coils,439,46335,20341065,2912847.6
JSW-2022-0063,14-09-2023,28-09-2023,Tata Projects,Priya Patel,Central,MP,Long Steel,Structural Steel,402,69175,27808350,2090308.38
JSW-2022-0064,20-01-2023,29-01-2023,Afcons Infrastructure,Rahul Sharma,East,West Bengal,Special Steel,Stainless Steel,485,65444,31740340,4328414.59
JSW-2022-0065,03-08-2023,18-08-2023,Larsen & Toubro,Amit Singh,Central,MP,Flat Steel,Galvanized Sheets,445,84348,37534860,6412049.9
JSW-2022-0066,13-01-2022,22-01-2022,Dilip Buildcon,Rahul Sharma,Central,Chhattisgarh,Special Steel,Alloy Steel,45,78158,3517110,517477.63
JSW-2022-0067,19-06-2023,02-07-2023,NCC Limited,Vikram Nair,West,Gujarat,Special Steel,Alloy Steel,372,55026,20469672,2360625.45
JSW-2022-0068,09-09-2022,13-09-2022,NCC Limited,Sneha Reddy,Central,Chhattisgarh,Long Steel,Rails,432,83828,36213696,3268623.96
JSW-2022-0069,22-05-2023,30-05-2023,Shapoorji Pallonji,Sneha Reddy,South,Kerala,Special Steel,Tool Steel,352,69837,24582624,2469557.94
JSW-2022-0070,10-10-2022,21-10-2022,Larsen & Toubro,Vikram Nair,South,Telangana,Long Steel,Structural Steel,153,84069,12862557,1995980.24
JSW-2022-0071,09-12-2023,19-12-2023,Dilip Buildcon,Sneha Reddy,South,Tamil Nadu,Flat Steel,Color Coated Sheets,260,81384,21159840,3464388.41
JSW-2022-0072,19-08-2023,27-08-2023,Dilip Buildcon,Vikram Nair,North,Delhi,Long Steel,Wire Rods,217,60945,13225065,1268692.45
JSW-2022-0073,15-09-2022,21-09-2022,Tata Projects,Priya Patel,Central,Chhattisgarh,Long Steel,Structural Steel,190,74736,14199840,1287037.49
JSW-2022-0074,11-05-2023,18-05-2023,IRB Infrastructure,Vikram Nair,East,West Bengal,Special Steel,Tool Steel,496,57133,28337968,2231080.69
JSW-2022-0075,06-11-2022,09-11-2022,PNC Infratech,Priya Patel,Central,Chhattisgarh,Flat Steel,Cold Rolled Coils,161,59908,9645188,1004374.26
JSW-2022-0076,18-05-2023,22-05-2023,Larsen & Toubro,Vikram Nair,East,West Bengal,Flat Steel,Galvanized Sheets,367,53275,19551925,2848333.2
JSW-2022-0077,16-09-2022,26-09-2022,Tata Projects,Rahul Sharma,East,Bihar,Long Steel,Rails,184,57082,10503088,2046260.41
JSW-2022-0078,08-11-2022,12-11-2022,Afcons Infrastructure,Rahul Sharma,West,Gujarat,Flat Steel,Hot Rolled Coils,87,54777,4765599,818116.63
JSW-2022-0079,25-01-2023,04-02-2023,Dilip Buildcon,Amit Singh,Central,Chhattisgarh,Special Steel,Tool Steel,414,59790,24753060,4117771.31
JSW-2022-0080,01-08-2022,14-08-2022,Afcons Infrastructure,Amit Singh,Central,Chhattisgarh,Long Steel,TMT Bars,322,51503,16583966,3186418.85
JSW-2022-0081,23-02-2023,05-03-2023,IRB Infrastructure,Sneha Reddy,North,Punjab,Flat Steel,Cold Rolled Coils,292,49919,14576348,1071068.48
JSW-2022-0082,10-04-2023,14-04-2023,Afcons Infrastructure,Amit Singh,East,West Bengal,Flat Steel,Galvanized Sheets,371,63528,23568888,3663739.65
JSW-2022-0083,30-09-2022,05-10-2022,Tata Projects,Rahul Sharma,Central,MP,Long Steel,TMT Bars,288,59733,17203104,2531354.33
JSW-2022-0084,26-03-2023,30-03-2023,Dilip Buildcon,Amit Singh,South,Telangana,Special Steel,Tool Steel,432,82303,35554896,6690680.48
JSW-2022-0085,10-02-2022,19-02-2022,KEC International,Vikram Nair,West,Gujarat,Special Steel,Tool Steel,262,73688,19306256,1198267.45
JSW-2022-0086,22-01-2022,06-02-2022,NCC Limited,Vikram Nair,East,West Bengal,Flat Steel,Cold Rolled Coils,355,82696,29357080,4053286.23
JSW-2022-0087,23-08-2023,01-09-2023,Dilip Buildcon,Rahul Sharma,North,Punjab,Long Steel,Rails,479,63229,30286691,2338840.41
JSW-2022-0088,04-12-2022,13-12-2022,Dilip Buildcon,Amit Singh,West,Gujarat,Long Steel,Structural Steel,174,51855,9022770,1612007.76
JSW-2022-0089,29-04-2022,14-05-2022,Ashoka Buildcon,Vikram Nair,West,Goa,Flat Steel,Color Coated Sheets,55,65612,3608660,317056.25
JSW-2022-0090,30-09-2023,15-10-2023,Dilip Buildcon,Sneha Reddy,North,Rajasthan,Long Steel,Rails,37,57293,2119841,270843.41
JSW-2022-0091,17-12-2023,27-12-2023,Tata Projects,Rahul Sharma,North,Punjab,Long Steel,Wire Rods,484,63876,30915984,3577517.73
JSW-2022-0092,22-02-2023,26-02-2023,Afcons Infrastructure,Rahul Sharma,Central,MP,Special Steel,Stainless Steel,169,81099,13705731,713399.33
JSW-2022-0093,07-10-2022,16-10-2022,Dilip Buildcon,Sneha Reddy,West,Maharashtra,Special Steel,Stainless Steel,265,64127,16993655,2146822.07
JSW-2022-0094,05-06-2023,19-06-2023,Shapoorji Pallonji,Rahul Sharma,South,Kerala,Special Steel,Stainless Steel,206,57491,11843146,2229830.16
JSW-2022-0095,02-11-2022,14-11-2022,IRB Infrastructure,Sneha Reddy,East,Bihar,Long Steel,Structural Steel,430,45168,19422240,1795116.99
JSW-2022-0096,11-07-2023,20-07-2023,Dilip Buildcon,Amit Singh,South,Kerala,Special Steel,Alloy Steel,186,66786,12422196,1649513.75
JSW-2022-0097,30-04-2023,14-05-2023,Ashoka Buildcon,Sneha Reddy,South,Karnataka,Special Steel,Alloy Steel,129,71920,9277680,524625.85
JSW-2022-0098,13-04-2022,23-04-2022,Tata Projects,Vikram Nair,South,Kerala,Flat Steel,Cold Rolled Coils,267,83678,22342026,2229716.45
JSW-2022-0099,29-09-2022,07-10-2022,IRB Infrastructure,Sneha Reddy,West,Maharashtra,Special Steel,Stainless Steel,219,55116,12070404,739001.28
JSW-2022-0100,15-05-2023,26-05-2023,Larsen & Toubro,Vikram Nair,North,Haryana,Special Steel,Tool Steel,204,65752,13413408,1931797.37
JSW-2022-0101,03-04-2022,12-04-2022,Tata Projects,Rahul Sharma,North,Punjab,Special Steel,Tool Steel,481,63833,30703673,6128879.56
JSW-2022-0102,27-02-2022,06-03-2022,KEC International,Amit Singh,West,Maharashtra,Special Steel,Alloy Steel,472,46897,22135384,1259473.36
JSW-2022-0103,22-03-2022,03-04-2022,Ashoka Buildcon,Vikram Nair,West,Maharashtra,Flat Steel,Color Coated Sheets,299,56800,16983200,1282189.95
JSW-2022-0104,16-04-2023,23-04-2023,Larsen & Toubro,Sneha Reddy,South,Kerala,Special Steel,Stainless Steel,128,75221,9628288,1402703.83
JSW-2022-0105,03-11-2022,16-11-2022,Ashoka Buildcon,Amit Singh,East,Odisha,Flat Steel,Color Coated Sheets,493,67646,33349478,6608124.17
JSW-2022-0106,26-01-2023,07-02-2023,KEC International,Vikram Nair,West,Gujarat,Flat Steel,Color Coated Sheets,446,76667,34193482,2256701.09
JSW-2022-0107,04-12-2023,19-12-2023,Larsen & Toubro,Vikram Nair,East,Jharkhand,Flat Steel,Color Coated Sheets,150,45530,6829500,921226.83
JSW-2022-0108,26-11-2023,11-12-2023,Shapoorji Pallonji,Rahul Sharma,West,Gujarat,Flat Steel,Galvanized Sheets,122,57460,7010120,1003384.23
JSW-2022-0109,03-04-2022,10-04-2022,KEC International,Sneha Reddy,North,Haryana,Long Steel,TMT Bars,306,68911,21086766,3370803.16
JSW-2022-0110,18-06-2022,25-06-2022,Dilip Buildcon,Amit Singh,South,Karnataka,Flat Steel,Galvanized Sheets,281,77885,21885685,4093127.48
JSW-2022-0111,22-11-2023,01-12-2023,PNC Infratech,Amit Singh,East,West Bengal,Long Steel,TMT Bars,82,59785,4902370,877627.62
JSW-2022-0112,20-11-2023,04-12-2023,NCC Limited,Vikram Nair,North,UP,Flat Steel,Galvanized Sheets,284,53099,15080116,1782739.71
JSW-2022-0113,27-09-2023,08-10-2023,KEC International,Vikram Nair,West,Goa,Long Steel,TMT Bars,355,60323,21414665,2585211.13
JSW-2022-0114,30-04-2022,05-05-2022,Larsen & Toubro,Rahul Sharma,South,Tamil Nadu,Special Steel,Alloy Steel,475,64804,30781900,4536818.56
JSW-2022-0115,10-04-2023,18-04-2023,PNC Infratech,Sneha Reddy,East,Bihar,Flat Steel,Hot Rolled Coils,130,80228,10429640,733721.08
JSW-2022-0116,14-10-2022,17-10-2022,KEC International,Priya Patel,Central,MP,Long Steel,TMT Bars,436,77069,33602084,4783183.81
JSW-2022-0117,23-10-2023,31-10-2023,Larsen & Toubro,Sneha Reddy,West,Gujarat,Flat Steel,Galvanized Sheets,60,69073,4144380,545690.01
JSW-2022-0118,04-09-2023,07-09-2023,Larsen & Toubro,Amit Singh,East,Odisha,Flat Steel,Color Coated Sheets,56,58900,3298400,482409.7
JSW-2022-0119,10-08-2022,16-08-2022,KEC International,Priya Patel,South,Karnataka,Special Steel,Stainless Steel,45,81320,3659400,296680.75
JSW-2022-0120,28-06-2022,02-07-2022,Larsen & Toubro,Priya Patel,Central,MP,Long Steel,Wire Rods,76,80403,6110628,535279.58
JSW-2022-0121,10-05-2022,24-05-2022,Ashoka Buildcon,Vikram Nair,North,Haryana,Flat Steel,Galvanized Sheets,18,56419,1015542,91200.88
JSW-2022-0122,22-04-2022,02-05-2022,PNC Infratech,Priya Patel,North,Delhi,Long Steel,Rails,408,68726,28040208,3560705.26
JSW-2022-0123,01-02-2022,04-02-2022,Dilip Buildcon,Sneha Reddy,Central,MP,Special Steel,Tool Steel,276,64767,17875692,2121958.66
JSW-2022-0124,24-03-2022,01-04-2022,IRB Infrastructure,Priya Patel,West,Goa,Flat Steel,Color Coated Sheets,374,74069,27701806,1690464.13
JSW-2022-0125,10-04-2023,21-04-2023,IRB Infrastructure,Sneha Reddy,North,Punjab,Long Steel,Structural Steel,205,84150,17250750,2235413.0
JSW-2022-0126,09-08-2022,18-08-2022,Dilip Buildcon,Priya Patel,North,Delhi,Special Steel,Tool Steel,459,81132,37239588,5888546.63
JSW-2022-0127,17-11-2022,30-11-2022,NCC Limited,Amit Singh,West,Gujarat,Long Steel,Rails,222,51231,11373282,1101869.18
JSW-2022-0128,09-04-2022,23-04-2022,KEC International,Priya Patel,South,Kerala,Flat Steel,Hot Rolled Coils,435,50594,22008390,1408196.17
JSW-2022-0129,25-02-2023,05-03-2023,Ashoka Buildcon,Rahul Sharma,Central,MP,Special Steel,Tool Steel,297,66603,19781091,2977093.55
JSW-2022-0130,04-11-2023,14-11-2023,Afcons Infrastructure,Rahul Sharma,East,Jharkhand,Long Steel,TMT Bars,305,78253,23867165,1954979.08
JSW-2022-0131,29-07-2023,13-08-2023,IRB Infrastructure,Vikram Nair,East,Jharkhand,Flat Steel,Galvanized Sheets,303,59821,18125763,3101013.64
JSW-2022-0132,07-10-2022,21-10-2022,NCC Limited,Amit Singh,Central,MP,Special Steel,Tool Steel,434,62527,27136718,1474690.05
JSW-2022-0133,11-10-2023,14-10-2023,Tata Projects,Vikram Nair,East,West Bengal,Flat Steel,Cold Rolled Coils,299,71265,21308235,1287823.13
JSW-2022-0134,29-11-2022,14-12-2022,IRB Infrastructure,Vikram Nair,South,Kerala,Long Steel,Rails,184,55315,10177960,1073855.84
JSW-2022-0135,06-10-2022,16-10-2022,Ashoka Buildcon,Sneha Reddy,North,Delhi,Flat Steel,Cold Rolled Coils,396,48261,19111356,2887636.19
JSW-2022-0136,17-03-2023,21-03-2023,NCC Limited,Vikram Nair,Central,Chhattisgarh,Long Steel,Structural Steel,120,78577,9429240,632443.89
JSW-2022-0137,06-09-2023,09-09-2023,Larsen & Toubro,Priya Patel,West,Goa,Special Steel,Alloy Steel,33,59451,1961883,214413.23
JSW-2022-0138,25-05-2023,08-06-2023,Ashoka Buildcon,Priya Patel,East,Odisha,Flat Steel,Galvanized Sheets,158,66503,10507474,714483.56
JSW-2022-0139,16-11-2023,01-12-2023,KEC International,Rahul Sharma,South,Kerala,Special Steel,Tool Steel,127,77785,9878695,1321853.71
JSW-2022-0140,17-11-2022,29-11-2022,Ashoka Buildcon,Vikram Nair,West,Goa,Flat Steel,Color Coated Sheets,19,75130,1427470,268613.26
JSW-2022-0141,29-11-2022,04-12-2022,IRB Infrastructure,Sneha Reddy,West,Goa,Special Steel,Alloy Steel,158,52548,8302584,919551.41
JSW-2022-0142,21-06-2023,25-06-2023,Ashoka Buildcon,Amit Singh,East,West Bengal,Long Steel,TMT Bars,134,73552,9855968,1363382.89
JSW-2022-0143,28-06-2023,09-07-2023,Afcons Infrastructure,Amit Singh,East,Odisha,Long Steel,Wire Rods,49,78455,3844295,557360.11
JSW-2022-0144,09-09-2023,14-09-2023,Tata Projects,Priya Patel,East,Odisha,Flat Steel,Hot Rolled Coils,84,61775,5189100,413004.47
JSW-2022-0145,02-10-2023,10-10-2023,KEC International,Priya Patel,West,Gujarat,Special Steel,Tool Steel,239,81994,19596566,2869893.08
JSW-2022-0146,29-08-2023,01-09-2023,KEC International,Vikram Nair,West,Maharashtra,Long Steel,Rails,333,64845,21593385,3658987.25
JSW-2022-0147,21-10-2022,25-10-2022,Tata Projects,Vikram Nair,North,Haryana,Long Steel,Rails,29,48728,1413112,148815.73
JSW-2022-0148,26-11-2022,08-12-2022,Dilip Buildcon,Vikram Nair,Central,Chhattisgarh,Long Steel,TMT Bars,240,82464,19791360,2924680.46
JSW-2022-0149,28-03-2022,08-04-2022,Shapoorji Pallonji,Rahul Sharma,South,Tamil Nadu,Long Steel,TMT Bars,425,67507,28690475,5662290.09
JSW-2022-0150,01-02-2023,10-02-2023,KEC International,Vikram Nair,South,Kerala,Long Steel,Wire Rods,196,69435,13609260,2554329.06
JSW-2022-0151,18-10-2022,25-10-2022,IRB Infrastructure,Priya Patel,North,Haryana,Flat Steel,Galvanized Sheets,58,81566,4730828,717935.8
JSW-2022-0152,03-11-2023,17-11-2023,Ashoka Buildcon,Priya Patel,East,West Bengal,Special Steel,Tool Steel,82,67925,5569850,537684.14
JSW-2022-0153,18-11-2023,02-12-2023,PNC Infratech,Rahul Sharma,Central,MP,Long Steel,Rails,339,66527,22552653,3878553.79
JSW-2022-0154,08-08-2022,16-08-2022,Dilip Buildcon,Priya Patel,West,Goa,Long Steel,TMT Bars,195,65241,12721995,980095.35
JSW-2022-0155,07-07-2023,21-07-2023,PNC Infratech,Rahul Sharma,South,Karnataka,Flat Steel,Hot Rolled Coils,161,51628,8312108,1048601.16
JSW-2022-0156,11-12-2023,26-12-2023,IRB Infrastructure,Priya Patel,East,Odisha,Special Steel,Alloy Steel,88,55633,4895704,377590.45
JSW-2022-0157,18-09-2023,25-09-2023,Dilip Buildcon,Priya Patel,West,Maharashtra,Long Steel,Structural Steel,356,60566,21561496,4213941.92
JSW-2022-0158,08-08-2023,18-08-2023,Dilip Buildcon,Amit Singh,Central,MP,Long Steel,Rails,472,57715,27241480,2865153.82
JSW-2022-0159,22-05-2022,29-05-2022,Larsen & Toubro,Sneha Reddy,West,Goa,Special Steel,Alloy Steel,92,58087,5344004,909490.07
JSW-2022-0160,14-06-2022,21-06-2022,Dilip Buildcon,Vikram Nair,East,West Bengal,Special Steel,Tool Steel,445,53170,23660650,2194748.93
JSW-2022-0161,28-01-2022,06-02-2022,Larsen & Toubro,Sneha Reddy,South,Kerala,Flat Steel,Cold Rolled Coils,428,74565,31913820,5830478.3
JSW-2022-0162,23-11-2022,27-11-2022,KEC International,Priya Patel,Central,Chhattisgarh,Flat Steel,Color Coated Sheets,51,69570,3548070,296905.38
JSW-2022-0163,26-04-2023,06-05-2023,IRB Infrastructure,Rahul Sharma,South,Tamil Nadu,Long Steel,Rails,366,54095,19798770,3243556.72
JSW-2022-0164,16-09-2023,27-09-2023,Ashoka Buildcon,Rahul Sharma,North,Delhi,Long Steel,Wire Rods,437,54798,23946726,3168646.03
JSW-2022-0165,30-09-2023,10-10-2023,Tata Projects,Rahul Sharma,East,Odisha,Long Steel,TMT Bars,34,60626,2061284,232871.15
JSW-2022-0166,28-05-2022,04-06-2022,Ashoka Buildcon,Rahul Sharma,West,Goa,Special Steel,Stainless Steel,333,78775,26232075,3574306.96
JSW-2022-0167,05-01-2023,09-01-2023,PNC Infratech,Vikram Nair,Central,Chhattisgarh,Flat Steel,Color Coated Sheets,105,50610,5314050,682975.97
JSW-2022-0168,17-09-2022,01-10-2022,Larsen & Toubro,Amit Singh,Central,MP,Long Steel,Rails,32,70354,2251328,443862.63
JSW-2022-0169,07-12-2022,12-12-2022,Larsen & Toubro,Amit Singh,North,Haryana,Flat Steel,Hot Rolled Coils,405,83135,33669675,5396509.78
JSW-2022-0170,06-05-2023,19-05-2023,Shapoorji Pallonji,Priya Patel,Central,Chhattisgarh,Special Steel,Stainless Steel,435,75449,32820315,6469634.95
JSW-2022-0171,12-02-2022,20-02-2022,NCC Limited,Vikram Nair,North,UP,Flat Steel,Galvanized Sheets,113,47870,5409310,912368.75
JSW-2022-0172,18-02-2022,03-03-2022,KEC International,Amit Singh,West,Goa,Long Steel,Structural Steel,28,57524,1610672,149658.22
JSW-2022-0173,31-01-2023,08-02-2023,Shapoorji Pallonji,Sneha Reddy,North,Haryana,Long Steel,Rails,390,73818,28789020,5302811.51
JSW-2022-0174,22-03-2022,31-03-2022,IRB Infrastructure,Priya Patel,West,Gujarat,Special Steel,Alloy Steel,420,50414,21173880,3367963.91
JSW-2022-0175,10-11-2022,20-11-2022,IRB Infrastructure,Sneha Reddy,Central,Chhattisgarh,Long Steel,TMT Bars,50,66490,3324500,495808.89
JSW-2022-0176,22-03-2023,29-03-2023,Larsen & Toubro,Rahul Sharma,South,Kerala,Long Steel,Rails,31,68105,2111255,300278.99
JSW-2022-0177,27-05-2022,08-06-2022,Dilip Buildcon,Rahul Sharma,West,Gujarat,Special Steel,Tool Steel,357,55484,19807788,3821286.96
